identifier,identifier_pmid,title,creator,subject,rights,source,file_names_html,text_links_list
1,1,திருக்குறள்,திருவள்ளுவர்,நீதிநெறி – பதினெண்கீழ்க்கணக்கு,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0001.html,pmuni0001.txt
2,2,ஆத்திசூடி,ஒளவையார்,நீதிநெறி,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0002.html,pmuni0002.txt
3,2,கொன்றை வேந்தன்,ஒளவையார்,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0002.html,pmuni0002.txt
4,2,நல்வழி,ஒளவையார்,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0002.html,pmuni0002.txt
5,2,மூதுரை,ஒளவையார்,,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0002.html,pmuni0002.txt
6,3,திருவாசகம் - 1 (1-10),மாணிக்க வாசகர்,சமயம் - சைவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0003_01.html | pmuni0003_02.html,pmuni0003_01.txt | pmuni0003_02.txt
7,3,திருவாசகம் - 2 (11-51),மாணிக்க வாசகர்,சமயம் - சைவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0003_01.html | pmuni0003_02.html,pmuni0003_01.txt | pmuni0003_02.txt
8,4,திருமந்திரம் (தந்திரங்கள் - 1; 2),திருமூலர்,சமயம் - சைவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0004.html,pmuni0004.txt
9,5,நாலாயிர திவ்ய பிரபந்தம் / திருப்பல்லாண்டு,பெரியாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_01.html,pmuni0005_01.txt
10,5,நாலாயிர திவ்ய பிரபந்தம் / திருமொழி,பெரியாழ்வார்,சமயம் - வைணவம்,public-domain or with due consent from respective authors,https://www.projectmadurai.org/pmworks.html,pmuni0005_01.html,pmuni0005_01.txt
