title,source,creator,subject,date
பழைய கணக்கு,https://ta.wikisource.org/wiki/பழைய கணக்கு,சாவி,,1984
பாப்பா முதல் பாட்டி வரை,https://ta.wikisource.org/wiki/பாப்பா முதல் பாட்டி வரை,புலவர் த. கோவேந்தன்,,
"எது வியாபாரம், எவர் வியாபாரி","https://ta.wikisource.org/wiki/எது வியாபாரம், எவர் வியாபாரி",கி. ஆ. பெ. விசுவநாதம்,,1994
ஒரே உரிமை,https://ta.wikisource.org/wiki/ஒரே உரிமை,விந்தன்,,1983
மணி பல்லவம் 1,https://ta.wikisource.org/wiki/மணி பல்லவம் 1,நா. பார்த்தசாரதி,,2000
மணி பல்லவம் 2,https://ta.wikisource.org/wiki/மணி பல்லவம் 2,நா. பார்த்தசாரதி,,2000
புத்தர் பொன்மொழி நூறு,https://ta.wikisource.org/wiki/புத்தர் பொன்மொழி நூறு,பேரா. சுந்தரசண்முகனார்,,1987
வேங்கடம் முதல் குமரி வரை 1,https://ta.wikisource.org/wiki/வேங்கடம் முதல் குமரி வரை 1,தொ. மு. பாஸ்கரத் தொண்டைமான்,,2000
வேங்கடம் முதல் குமரி வரை 3,https://ta.wikisource.org/wiki/வேங்கடம் முதல் குமரி வரை 3,தொ. மு. பாஸ்கரத் தொண்டைமான்,,2001
வேங்கடம் முதல் குமரி வரை 4,https://ta.wikisource.org/wiki/வேங்கடம் முதல் குமரி வரை 4,தொ. மு. பாஸ்கரத் தொண்டைமான்,,2001
வேங்கடம் முதல் குமரி வரை 5,https://ta.wikisource.org/wiki/வேங்கடம் முதல் குமரி வரை 5,தொ. மு. பாஸ்கரத் தொண்டைமான்,,2001
அனிச்ச மலர்,https://ta.wikisource.org/wiki/அனிச்ச மலர்,நா. பார்த்தசாரதி,,
கிரேக்க ஒலிம்பிக் பந்தயங்கள்,https://ta.wikisource.org/wiki/கிரேக்க ஒலிம்பிக் பந்தயங்கள்,டாக்டர். எஸ். நவராஜ் செல்லையா,,1999
திருக்குறள் புதைபொருள் 2,https://ta.wikisource.org/wiki/திருக்குறள் புதைபொருள் 2,கி. ஆ. பெ. விசுவநாதம்,,1988
திருக்குறள் புதைபொருள் 1,https://ta.wikisource.org/wiki/திருக்குறள் புதைபொருள் 1,கி. ஆ. பெ. விசுவநாதம்,,1990
திருக்குறளில் செயல்திறன்,https://ta.wikisource.org/wiki/திருக்குறளில் செயல்திறன்,கி. ஆ. பெ. விசுவநாதம்,,1993
வாழ்க்கை நலம்,https://ta.wikisource.org/wiki/வாழ்க்கை நலம்,குன்றக்குடி அடிகளார்,,2011
பெஞ்சமின் ஃபிராங்ளினின் நம்மைமேம்படுத்தும் எண்ணங்கள்,https://ta.wikisource.org/wiki/பெஞ்சமின் ஃபிராங்ளினின் நம்மைமேம்படுத்தும் எண்ணங்கள்,என். வி. கலைமணி,,2001
தில்லைப் பெருங்கோயில் வரலாறு,https://ta.wikisource.org/wiki/தில்லைப் பெருங்கோயில் வரலாறு,பேராசிரியர் க. வெள்ளைவாரணனார்,,1988
பறவைகளைப் பார்,https://ta.wikisource.org/wiki/பறவைகளைப் பார்,கவிஞர் பெரியசாமித்தூரன்,,1970
அம்புலிப் பயணம்,https://ta.wikisource.org/wiki/அம்புலிப் பயணம்,பேராசிரியர் ந. சுப்புரெட்டியார்,,1973
தமிழகத்தில் குறிஞ்சி வளம்,https://ta.wikisource.org/wiki/தமிழகத்தில் குறிஞ்சி வளம்,கவிஞர் முருகு சுந்தரம்,,1968
இறைவர் திருமகன்,https://ta.wikisource.org/wiki/இறைவர் திருமகன்,பாவலர் நாரா. நாச்சியப்பன்,,1980
தெய்வ அரசு கண்ட இளவரசன்,https://ta.wikisource.org/wiki/தெய்வ அரசு கண்ட இளவரசன்,பாவலர் நாரா. நாச்சியப்பன்,,1971
கிருஸ்தவத் தமிழ்த் தொண்டர்,https://ta.wikisource.org/wiki/கிருஸ்தவத் தமிழ்த் தொண்டர்,டாக்டர் ரா. பி. சேதுப்பிள்ளை,,1957
வேண்டும் விடுதலை,https://ta.wikisource.org/wiki/வேண்டும் விடுதலை,பாவலரேறு பெருஞ்சித்திரனார்,,2005
தான்பிரீன் தொடரும் பயணம்,https://ta.wikisource.org/wiki/தான்பிரீன் தொடரும் பயணம்,தியாகி ப. ராமசாமி,,1993
வாழ்க்கை (லியோ டால்ஸ்டாய்),https://ta.wikisource.org/wiki/வாழ்க்கை (லியோ டால்ஸ்டாய்),லியோ டால்ஸ்டாய்,,1961
புகழ்பெற்ற புதுக்கவிஞர்கள்,https://ta.wikisource.org/wiki/புகழ்பெற்ற புதுக்கவிஞர்கள்,கவிஞர் முருகு சுந்தரம்,,1993
நாலடியார் - செய்யுளும் செய்திகளும்,https://ta.wikisource.org/wiki/நாலடியார் - செய்யுளும் செய்திகளும்,டாக்டர் ரா. சீனிவாசன்,,
ஊர்வலம் போன பெரியமனுஷி,https://ta.wikisource.org/wiki/ஊர்வலம் போன பெரியமனுஷி,வல்லிக்கண்ணன்,சிறுவர் கதைகள்,1994
வரலாற்றுக் காப்பியம்,https://ta.wikisource.org/wiki/வரலாற்றுக் காப்பியம்,ஏ. கே. வேலன்,,
கடவுள் கைவிடமாட்டார்,https://ta.wikisource.org/wiki/கடவுள் கைவிடமாட்டார்,டாக்டர். எஸ். நவராஜ் செல்லையா,,
சிந்தனையாளன் மாக்கியவெல்லி,https://ta.wikisource.org/wiki/சிந்தனையாளன் மாக்கியவெல்லி,பாவலர் நாரா. நாச்சியப்பன்,,2006
உலகம் பிறந்த கதை,https://ta.wikisource.org/wiki/உலகம் பிறந்த கதை,சக்திதாசன் சுப்பிரமணியன்,,1985
குன்றக்குடி அடிகளார் நூல்வரிசை-11,https://ta.wikisource.org/wiki/குன்றக்குடி அடிகளார் நூல்வரிசை-11,குன்றக்குடி அடிகளார்,,2001
ரோஜா இதழ்கள்,https://ta.wikisource.org/wiki/ரோஜா இதழ்கள்,ராஜம் கிருஷ்ணன்,,2001
கெடிலக் கரை நாகரிகம்,https://ta.wikisource.org/wiki/கெடிலக் கரை நாகரிகம்,பேரா. சுந்தரசண்முகனார்,,2001
தஞ்சைச் சிறுகதைகள்,https://ta.wikisource.org/wiki/தஞ்சைச் சிறுகதைகள்,,,
நான் கண்ட நாடகக் கலைஞர்கள்,https://ta.wikisource.org/wiki/நான் கண்ட நாடகக் கலைஞர்கள்,பம்மல் சம்பந்த முதலியார்,,1964
