file_name,identifier,title,title_en,creator,rights,subject,folder_name
Devaneyam__9.txt,Devaneyam__9.txt,தேவநேயம் - 9,Devaneyam -9,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__9-upload
Devaneyam__7.txt,Devaneyam__7.txt,தேவநேயம் - 7,Devaneyam -7,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__7-upload
Devaneyam__5.txt,Devaneyam__5.txt,தேவநேயம் - 5,Devaneyam -5,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__5-upload
Devaneyam__3.txt,Devaneyam__3.txt,தேவநேயம் - 3,Devaneyam -3,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__3-upload
Devaneyam__10.txt,Devaneyam__10.txt,தேவநேயம் - 10,Devaneyam -10,இரா. இளங்குமரன்,CC-BY-SA,,category
Devaneyam__8.txt,Devaneyam__8.txt,தேவநேயம் - 8,Devaneyam -8,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__8-upload
Devaneyam__12.txt,Devaneyam__12.txt,தேவநேயம் - 12,Devaneyam -12,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__12-upload
Devaneyam__11.txt,Devaneyam__11.txt,தேவநேயம் - 11,Devaneyam -11,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__11-upload
Devaneyam__1.txt,Devaneyam__1.txt,தேவநேயம் - 1,Devaneyam -1,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__1-upload
Devaneyam__2.txt,Devaneyam__2.txt,தேவநேயம் - 2,Devaneyam -2,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__2-upload
Devaneyam__6.txt,Devaneyam__6.txt,தேவநேயம் - 6,Devaneyam -6,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__6-upload
Devaneyam__13.txt,Devaneyam__13.txt,தேவநேயம் - 13,Devaneyam -13,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__13-upload
Devaneyam__4.txt,Devaneyam__4.txt,தேவநேயம் - 4,Devaneyam -4,இரா. இளங்குமரன்,CC-BY-SA,,Devaneyam__4-upload
Seramannar_Varalaru.txt,Seramannar_Varalaru.txt,சேரமன்னர் வரலாறு,Seramannar Varalaru,ஒளவை துரைசாமி,CC-BY-SA,,Seramannar_Varalaru-upload
Silapathigara_Surukkam.txt,Silapathigara_Surukkam.txt,சிலப்பதிகாரச் சுருக்கம்,Silapathigara Surukkam,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Silapathigara_Surukkam-upload
Gnanamirutha_moolamum_palayavuraiyum.txt,Gnanamirutha_moolamum_palayavuraiyum.txt,ஞானாமிர்த மூலமும் பழையவுரையும்,Gnanamirutha moolamum palayavuraiyum,ஒளவை துரைசாமி,CC-BY-SA,வரலாறு,Gnanamirutha_moolamum_palayavuraiyum-upload
Manimekalai_araichi.txt,Manimekalai_araichi.txt,மணிமேகலை ஆராய்ச்சி,Manimekalai Araichi,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Manimekalai_Araichi-upload
Pathitrupathu.txt,Pathitrupathu.txt,பதிற்றுப்பத்து,Pathitrupathu,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Pathitrupathu-upload
Natrinai__2.txt,Natrinai__2.txt,நற்றிணை - 2,Natrinai -2,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Natrinai__2-upload
Purananooru_1.txt,Purananooru_1.txt,புறநானூறு – 1,Purananooru-1,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Purananooru_1-upload
Varalatru_vayil.txt,Varalatru_vayil.txt,வரலாற்று வாயில்,Varalatru vayil,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Varalatru_vayil-upload
Sivaneri_Sindhanai__1.txt,Sivaneri_Sindhanai__1.txt,சிவநெறிச் சிந்தனை - 1,Sivaneri Sindhanai -1,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Sivaneri_Sindhanai__1-upload
Pothumanithiral.txt,Pothumanithiral.txt,பொதுமணித்திரள்,Pothumanithiral,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Pothumanithiral-upload
Silapathigara_araichi.txt,Silapathigara_araichi.txt,சிலப்பதிகார ஆராய்ச்சி,Silapathigara araichi,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Silapathigara_araichi-upload
Senthamil_valam__2.txt,Senthamil_valam__2.txt,செந்தமிழ் வளம் - 2,Senthamil valam -2,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Senthamil_valam__2-upload
Manimekalai_Surukkam.txt,Manimekalai_Surukkam.txt,மணிமேகலை சுருக்கம்,Manimekalai Surukkam,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Manimekalai_Surukkam-upload
Ingurunooru__1.txt,Ingurunooru__1.txt,ஐங்குறுநூறு -  1,Ingurunooru -1,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Ingurunooru__1-upload
Tamil_Navalar_sarithai.txt,Tamil_Navalar_sarithai.txt,தமிழ் நாவலர் சரிதை,Tamil Navalar sarithai,ஒளவை துரைசாமி,CC-BY-SA,வரலாறு,Tamil_Navalar_sarithai-upload
Yasothara_kaviyam.txt,Yasothara_kaviyam.txt,யசோதர காவியம்,Yasothara kaviyam,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Yasothara_kaviyam-upload
Perungathai_surukkam.txt,Perungathai_surukkam.txt,பெருங்கதைச் சுருக்கம்,Perungathai surukkam,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Perungathai_surukkam-upload
Senthamil_valam__1.txt,Senthamil_valam__1.txt,செந்தமிழ் வளம் - 1,Senthamil valam -1,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Senthamil_valam__1-upload
Purananooru_2.txt,Purananooru_2.txt,புறநானூறு – 2,Purananooru-2,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Purananooru_2-upload
Natrinai__4.txt,Natrinai__4.txt,நற்றிணை - 4,Natrinai -4,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Natrinai__4-upload
Natrinai__3.txt,Natrinai__3.txt,நற்றிணை - 3,Natrinai -3,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Natrinai__3-upload
Seevagasindhamani_Surukkam.txt,Seevagasindhamani_Surukkam.txt,சீவக சிந்தாமணி சுருக்கம்,Seevagasindhamani Surukkam,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Seevagasindhamani_Surukkam-upload
Thirukkural_thelivu.txt,Thirukkural_thelivu.txt,திருக்குறள் தெளிவு,Thirukkural thelivu,ஒளவை துரைசாமி,CC-BY-SA,கட்டுரை,Thirukkural_thelivu-upload
Ingurunooru__2.txt,Ingurunooru__2.txt,ஐங்குறுநூறு -  2,Ingurunooru -2,ஒளவை துரைசாமி,CC-BY-SA,செய்யுள்,Ingurunooru__2-upload
Saiva_ilakkiya_varalaru.txt,Saiva_ilakkiya_varalaru.txt,சைவ இலக்கிய வரலாறு,Saiva ilakkiya varalaru,ஒளவை துரைசாமி,CC-BY-SA,வரலாறு,Saiva_ilakkiya_varalaru-upload
